144, 23682., 20792
136, 23255., 20115
125, 22688., 19405
120, 21988., 18223
118, 21561., 20096
101, 20994., 16793
90, 20490., 15951
82, 20056., 17482
72, 19664., 16752
68, 19034., 15626
59, 18418., 12910
50, 17858., 12165
46, 17417., 11467
35, 17046., 10839
26, 16731., 10509
22, 16395., 9903
17, 15968., 9347
12, 15464., 9025
7, 15051., 8179
1, 14645., 7969
0, 14372., 6580
2, 14029., 7517
2, 13525., 7090
2, 12993., 6321
0, 12566., 5033
1, 12083., 5131
0, 11537., 4259
0, 11068., 4028
0, 10634., 3679
0, 10123., 3425
0, 9647., 3100
0, 9192., 2822
0, 8793., 2623
0, 8443., 2426
0, 8170., 2307
0, 7827., 2150
0, 7589., 2046
0, 7239., 1897
0, 6959., 1768
0, 6756., 1694
0, 6518., 1593
0, 6413., 1551
0, 6189., 1462
0, 5888., 1336
0, 5671., 1251
0, 5496., 1177
0, 5391., 1131
0, 5125., 1028
0, 4887., 932
0, 4705., 854
0, 4558., 789
0, 4418., 731
0, 4327., 690
0, 4194., 622
0, 4138., 596
0, 4103., 581
0, 4096., 575
0, 4096., 558
0, 4096., 561
0, 4096., 556
0, 4096., 556
0, 4096., 556
0, 4096., 553
0, 4096., 549
0, 4096., 553
0, 4096., 552
0, 4096., 555
0, 4096., 551
0, 4096., 553
0, 4096., 553
0, 4096., 552
0, 4096., 553
0, 4096., 552
0, 4096., 550
0, 4096., 555
0, 4096., 549
0, 4096., 552
0, 4096., 554
0, 4096., 553
0, 4096., 554
0, 4096., 551
0, 4096., 550
0, 4096., 554
0, 4096., 550
0, 4096., 550
0, 4096., 552
0, 4096., 549
0, 4096., 554
0, 4096., 553
0, 4096., 553
0, 4096., 550
0, 4096., 553
0, 4096., 548
0, 4096., 551
0, 4096., 553
0, 4096., 550
0, 4096., 552
0, 4096., 553
0, 4096., 543
0, 4096., 554
0, 4096., 551
0, 4096., 544
0, 4096., 551
0, 4096., 551
0, 4096., 548
0, 4096., 553
0, 4096., 552
0, 4096., 551
0, 4096., 554
0, 4096., 552
0, 4096., 548
0, 4096., 553
0, 4096., 550
0, 4096., 554
0, 4096., 552
0, 4096., 549
0, 4096., 552
0, 4096., 550
0, 4096., 551
0, 4096., 552
0, 4096., 555
0, 4096., 552
0, 4096., 554
0, 4096., 556
0, 4096., 554
0, 4096., 551
0, 4096., 552
0, 4096., 549
0, 4096., 552
0, 4096., 553
0, 4096., 552
0, 4096., 550
0, 4096., 552
0, 4096., 553
0, 4096., 550
0, 4096., 554
0, 4096., 552
0, 4096., 550
0, 4096., 553
0, 4096., 550
0, 4096., 555
0, 4096., 552
0, 4096., 551
0, 4096., 549
0, 4096., 550
0, 4096., 548
0, 4096., 553
0, 4096., 552
0, 4096., 550
0, 4096., 549
0, 4096., 555
0, 4096., 548
0, 4096., 558
0, 4096., 668
0, 4096., 551
0, 4096., 558
0, 4096., 551
0, 4096., 554
0, 4096., 555
0, 4096., 550
0, 4096., 550
0, 4096., 549
0, 4096., 551
0, 4096., 551
0, 4096., 552
0, 4096., 553
0, 4096., 549
0, 4096., 547
0, 4096., 555
